Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Cheick Diallo,17,87,73,4,4,7,0,7,0,0,3,0,138.5,8.15
Aron Baynes,75,365,333,32,17,39,0,50,0,0,2,0,611.5,8.15
Jerian Grant,63,370,111,121,47,8,49,44,0,0,1,0,508.5,8.07
Taurean Prince,59,335,157,55,43,27,33,61,0,0,0,0,475.0,8.05
Meyers Leonard,74,401,237,71,13,28,74,35,0,0,1,0,593.5,8.02
Troy Williams,30,185,69,25,27,10,18,32,0,0,0,0,237.5,7.92
Salah Mejri,73,213,308,14,32,61,1,40,0,0,1,0,576.0,7.89
Quincy Acy,38,222,115,18,14,15,37,21,0,0,0,0,299.5,7.88
Lance Thomas,46,275,142,35,21,5,38,25,0,0,1,0,361.5,7.86
Marcus Thornton,33,219,76,41,19,3,28,25,0,0,0,0,259.5,7.86
Jonathon Simmons,78,483,160,126,47,25,30,76,0,0,0,0,610.5,7.83
Luis Scola,36,184,139,37,14,4,17,34,0,0,1,0,279.5,7.76
Pascal Siakam,55,229,185,17,26,45,1,33,0,0,0,0,426.0,7.75
Jaylen Brown,78,515,220,64,35,18,46,68,0,0,0,0,602.5,7.72
Ben McLemore,61,495,129,51,29,6,65,62,0,0,1,0,469.0,7.69
Hollis Thompson,40,205,112,35,20,6,32,11,0,0,0,0,306.5,7.66
Omer Asik,31,85,163,15,5,10,0,14,0,0,1,0,237.5,7.66
Ramon Sessions,50,312,73,129,27,3,21,46,0,0,0,0,382.5,7.65
Rodney Stuckey,39,281,84,84,16,0,19,53,0,0,0,0,297.0,7.62
Beno Udrih,39,227,57,131,13,0,11,36,0,0,0,0,297.0,7.62
Boban Marjanovic,35,191,130,9,6,12,0,10,0,0,5,0,265.5,7.59
Joffrey Lauvergne,70,375,251,70,25,6,33,56,0,0,0,0,531.0,7.59
Archie Goodwin,15,110,28,24,4,5,5,14,0,0,0,0,113.5,7.57
Omri Casspi,36,186,112,37,23,3,15,29,0,0,0,0,272.5,7.57
Kyle Anderson,72,246,208,91,51,26,15,39,0,0,0,0,544.5,7.56
Roy Hibbert,48,221,152,21,8,46,0,32,0,0,1,0,360.5,7.51
Alec Burks,42,283,120,30,18,5,25,35,0,0,0,0,315.0,7.5
Stanley Johnson,77,339,189,105,56,24,45,71,0,0,0,0,575.0,7.47
Kris Humphries,56,257,206,29,15,21,19,28,0,0,0,0,417.0,7.45
Dorian Finney-Smith,81,350,222,67,52,25,56,45,0,0,0,0,601.0,7.42
Denzel Valentine,57,291,151,63,30,7,73,49,0,0,1,0,422.0,7.4
Randy Foye,69,357,155,135,35,9,67,80,0,0,0,0,510.0,7.39
Troy Daniels,67,551,100,46,20,4,138,45,0,0,0,0,493.5,7.37
Paul Zipser,44,240,125,36,15,16,33,40,0,0,0,0,319.5,7.26
Juancho Hernangomez,62,305,187,29,30,12,46,31,0,0,1,0,445.5,7.19
